0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1.6536752,1.1485612,0.030406209,0.82396585,-0.24222744,0.5213585,-0.91017896,0.43592644,-0.67010134,-0.005555085,-1.348666,-1.4889748,0.14407212,-1.0179251,-0.52013713,-0.5218844
-0.31812453,1.4233608,0.31473708,-0.9950458,-2.264406,-0.46933874,-2.0608294,0.94691885,-0.7908341,0.66965085,-1.7313612,-0.8124209,2.1484509,-0.39188462,-0.3548883,0.6126784
-0.87198454,0.7751865,1.0174304,0.25410834,1.0338377,1.3161098,0.5808568,0.07318203,1.8450737,0.17934383,-0.4137552,-0.21033953,1.8674566,-0.028519917,0.83336693,1.7555661
0.28927422,1.216446,-0.19785063,-0.6303683,-1.4779347,-0.45645705,-1.3366413,-1.0867014,-0.84026325,0.20213659,-0.41278908,-0.30656976,-1.6101657,1.137541,1.8853716,-0.68989795
0.5114655,0.13691331,0.06707453,0.67261523,-0.37276396,-1.3646283,0.9977686,0.0019087254,0.34348306,1.6018963,0.6182355,-0.71260506,1.2660209,0.43497574,-1.5365045,1.131092
0.06572673,0.16550235,-0.67422867,0.44581783,1.4800205,0.478876,-0.5810631,0.9506642,0.35765928,-0.09157567,0.3314582,-1.0896816,-0.25850776,0.3597238,0.1484885,0.22818032
0.5369984,0.37717333,-0.5851525,-1.4798503,0.74677545,2.38721,-1.6532406,0.19872655,-0.76104146,0.6400047,1.1876926,0.80295724,-0.24580833,-0.8761681,1.056011,-0.17562555
-0.8256599,-1.7003801,-1.9649589,-0.9738783,0.010491864,-1.6804197,1.150076,0.09679174,-0.5710867,-0.32724717,1.5343976,0.30815753,-1.8361318,0.29933766,1.3229003,0.44444072
0.7542738,-0.5049221,-0.5415832,-0.22430883,1.265119,0.40307492,-0.19581127,1.100025,-0.08848521,0.035722844,0.20269832,-1.1612093,0.35681123,-1.0499772,-0.75994474,-0.5396913
-0.61912036,-0.093004696,-1.3344916,0.13024595,-0.07498405,-1.3034841,-0.16456649,0.38953528,-1.0445317,-0.19431184,0.31821167,0.513467,0.1147093,-1.1460669,-1.7298899,0.36290932
-0.46437368,-1.1189008,1.2087997,-3.3169284,2.181482,1.4587681,0.30578616,0.87455404,1.5703876,-0.5528696,-2.1816423,-0.96638066,1.1034304,-0.83047944,0.9316805,-1.7586033
-0.19014123,-0.25694105,-1.2687767,-0.64395314,-0.9049431,1.0506485,-1.0337079,-0.7286322,-0.11594881,0.009321364,-1.1169775,-0.4738516,1.2189772,-0.2095992,-1.2369949,1.0437196
0.8786204,-0.27708983,-0.066623695,1.0513642,-0.36793008,-0.813343,1.4856782,-0.9676999,-1.2012732,-2.4200609,0.8599895,-0.62341803,-3.3347702,-0.631976,0.034220744,1.0498106
0.30619282,0.8597711,0.13343047,0.29870313,-2.8324351,0.69831306,-0.26272544,1.3893234,-0.26581094,-0.099776134,-0.6978064,-0.19240223,-0.36733174,-0.4730306,-1.4642357,-0.3191099
1.8918487,1.0034891,-0.7645024,1.1980104,1.1278361,1.091094,0.7624884,-1.6569155,-0.9456643,-0.054448094,0.30757463,1.1255717,1.4383008,-1.1516876,0.46227127,0.22007701
0.2128042,0.49795133,-1.4064183,1.4394028,-1.0385152,-1.4697533,0.469707,1.1301444,-1.2372419,-1.8159084,-1.3093759,0.73148847,-1.06172,-1.885081,-0.32352728,-2.753013
1.1526408,1.8782232,0.17779647,-0.39120188,0.3071519,-1.5744654,-1.0765274,0.44811666,1.0273387,-2.0298128,-0.4744328,0.6842943,0.69378155,0.1467319,0.18649277,2.0687294
